1,1014,0.9702989999999999,-20.0,0,-20.0
2,816,0.96059601,-21.0,0,-20.5
3,1048,0.9414801494009999,-21.0,0,-20.666666666666668
4,1120,0.9135172474836407,-19.0,0,-20.25
5,845,0.9043820750088043,-21.0,0,-20.4
6,836,0.8863848717161291,-20.0,0,-20.333333333333332
7,815,0.8687458127689781,-21.0,0,-20.428571428571427
8,1206,0.8514577710948754,-19.0,0,-20.25
9,816,0.8345137614500874,-21.0,0,-20.333333333333332
10,1198,0.8179069375972307,-19.0,0,-20.2
162,2334,0.04953625663766238,14.0,tensor(9.5428, device='cuda:0', grad_fn=<AddBackward0>),-2.64
163,2606,0.04953625663766238,8.0,tensor(11.1517, device='cuda:0', grad_fn=<AddBackward0>),-2.44
164,2730,0.04953625663766238,8.0,tensor(11.7925, device='cuda:0', grad_fn=<AddBackward0>),-2.19
165,1913,0.04953625663766238,18.0,tensor(8.2340, device='cuda:0', grad_fn=<AddBackward0>),-1.87
166,2183,0.04953625663766238,13.0,tensor(8.8777, device='cuda:0', grad_fn=<AddBackward0>),-1.57
167,2400,0.04953625663766238,11.0,tensor(9.2010, device='cuda:0', grad_fn=<AddBackward0>),-1.31
168,2119,0.04953625663766238,15.0,tensor(7.8855, device='cuda:0', grad_fn=<AddBackward0>),-0.99
169,2389,0.04953625663766238,10.0,tensor(8.9557, device='cuda:0', grad_fn=<AddBackward0>),-0.79
170,2017,0.04953625663766238,17.0,tensor(7.4318, device='cuda:0', grad_fn=<AddBackward0>),-0.51
171,1858,0.04953625663766238,17.0,tensor(6.5527, device='cuda:0', grad_fn=<AddBackward0>),-0.18
172,1917,0.04953625663766238,17.0,tensor(6.8920, device='cuda:0', grad_fn=<AddBackward0>),0.19
173,2068,0.04953625663766238,14.0,tensor(7.1711, device='cuda:0', grad_fn=<AddBackward0>),0.51
174,2130,0.04953625663766238,11.0,tensor(7.4102, device='cuda:0', grad_fn=<AddBackward0>),0.72
175,2040,0.04953625663766238,15.0,tensor(7.0203, device='cuda:0', grad_fn=<AddBackward0>),1.01
176,2313,0.04953625663766238,12.0,tensor(7.8256, device='cuda:0', grad_fn=<AddBackward0>),1.26
177,2266,0.04953625663766238,12.0,tensor(7.4473, device='cuda:0', grad_fn=<AddBackward0>),1.52
178,1951,0.04953625663766238,14.0,tensor(6.7888, device='cuda:0', grad_fn=<AddBackward0>),1.81
179,2034,0.04953625663766238,15.0,tensor(6.6207, device='cuda:0', grad_fn=<AddBackward0>),2.11
180,2456,0.04953625663766238,9.0,tensor(7.8982, device='cuda:0', grad_fn=<AddBackward0>),2.31
181,2176,0.04953625663766238,12.0,tensor(7.4369, device='cuda:0', grad_fn=<AddBackward0>),2.54
182,2106,0.04953625663766238,13.0,tensor(6.6555, device='cuda:0', grad_fn=<AddBackward0>),2.81
183,2915,0.04953625663766238,4.0,tensor(8.7784, device='cuda:0', grad_fn=<AddBackward0>),2.96
184,1995,0.04953625663766238,17.0,tensor(7.4562, device='cuda:0', grad_fn=<AddBackward0>),3.31
185,1934,0.04953625663766238,15.0,tensor(7.0027, device='cuda:0', grad_fn=<AddBackward0>),3.62
186,1927,0.04953625663766238,17.0,tensor(6.5932, device='cuda:0', grad_fn=<AddBackward0>),3.97
187,1918,0.04953625663766238,17.0,tensor(6.2157, device='cuda:0', grad_fn=<AddBackward0>),4.15
188,3007,0.04953625663766238,4.0,tensor(8.9335, device='cuda:0', grad_fn=<AddBackward0>),4.28
189,2076,0.04953625663766238,14.0,tensor(6.5262, device='cuda:0', grad_fn=<AddBackward0>),4.5
190,1938,0.04953625663766238,14.0,tensor(5.7241, device='cuda:0', grad_fn=<AddBackward0>),4.79
191,1979,0.04953625663766238,15.0,tensor(5.4911, device='cuda:0', grad_fn=<AddBackward0>),5.09
192,1979,0.04953625663766238,15.0,tensor(5.7200, device='cuda:0', grad_fn=<AddBackward0>),5.25
193,2152,0.04953625663766238,12.0,tensor(6.0935, device='cuda:0', grad_fn=<AddBackward0>),5.56
194,1891,0.04953625663766238,18.0,tensor(5.8126, device='cuda:0', grad_fn=<AddBackward0>),5.84
195,1963,0.04953625663766238,16.0,tensor(5.5637, device='cuda:0', grad_fn=<AddBackward0>),6.03
196,2664,0.04953625663766238,4.0,tensor(7.6490, device='cuda:0', grad_fn=<AddBackward0>),6.16
197,2063,0.04953625663766238,15.0,tensor(6.7018, device='cuda:0', grad_fn=<AddBackward0>),6.38
198,2527,0.04953625663766238,3.0,tensor(6.7241, device='cuda:0', grad_fn=<AddBackward0>),6.5
199,1857,0.04953625663766238,17.0,tensor(5.4211, device='cuda:0', grad_fn=<AddBackward0>),6.75
200,2388,0.04953625663766238,12.0,tensor(6.0019, device='cuda:0', grad_fn=<AddBackward0>),6.94
201,2013,0.04953625663766238,16.0,tensor(5.0844, device='cuda:0', grad_fn=<AddBackward0>),7.29
202,2521,0.04953625663766238,8.0,tensor(7.0512, device='cuda:0', grad_fn=<AddBackward0>),7.46
203,1943,0.04953625663766238,16.0,tensor(5.5008, device='cuda:0', grad_fn=<AddBackward0>),7.68
204,2776,0.04953625663766238,5.0,tensor(7.3726, device='cuda:0', grad_fn=<AddBackward0>),7.89
205,2101,0.04953625663766238,12.0,tensor(6.3352, device='cuda:0', grad_fn=<AddBackward0>),8.04
206,2063,0.04953625663766238,16.0,tensor(5.8903, device='cuda:0', grad_fn=<AddBackward0>),8.3
207,2523,0.04953625663766238,8.0,tensor(7.2803, device='cuda:0', grad_fn=<AddBackward0>),8.41
208,2045,0.04953625663766238,15.0,tensor(5.9956, device='cuda:0', grad_fn=<AddBackward0>),8.65
209,1905,0.04953625663766238,18.0,tensor(5.0695, device='cuda:0', grad_fn=<AddBackward0>),8.96
210,2405,0.04953625663766238,9.0,tensor(5.9316, device='cuda:0', grad_fn=<AddBackward0>),9.08
211,2225,0.04953625663766238,13.0,tensor(6.2473, device='cuda:0', grad_fn=<AddBackward0>),9.3
212,2195,0.04953625663766238,16.0,tensor(6.2649, device='cuda:0', grad_fn=<AddBackward0>),9.5
213,1313,0.04953625663766238,-19.0,tensor(4.4579, device='cuda:0', grad_fn=<AddBackward0>),9.46
214,2918,0.04953625663766238,2.0,tensor(9.6780, device='cuda:0', grad_fn=<AddBackward0>),9.54
215,1946,0.04953625663766238,17.0,tensor(6.8243, device='cuda:0', grad_fn=<AddBackward0>),9.86
216,2590,0.04953625663766238,9.0,tensor(7.6509, device='cuda:0', grad_fn=<AddBackward0>),10.1
217,2649,0.04953625663766238,8.0,tensor(7.9404, device='cuda:0', grad_fn=<AddBackward0>),10.15
218,2459,0.04953625663766238,12.0,tensor(8.0544, device='cuda:0', grad_fn=<AddBackward0>),10.24
219,2520,0.04953625663766238,9.0,tensor(8.4347, device='cuda:0', grad_fn=<AddBackward0>),10.3
220,2403,0.04953625663766238,7.0,tensor(8.1278, device='cuda:0', grad_fn=<AddBackward0>),10.41
221,2254,0.04953625663766238,13.0,tensor(8.6151, device='cuda:0', grad_fn=<AddBackward0>),10.58
222,2340,0.04953625663766238,7.0,tensor(7.7145, device='cuda:0', grad_fn=<AddBackward0>),10.66
223,2259,0.04953625663766238,9.0,tensor(7.7764, device='cuda:0', grad_fn=<AddBackward0>),10.69
224,1910,0.04953625663766238,17.0,tensor(6.1547, device='cuda:0', grad_fn=<AddBackward0>),10.83
225,2525,0.04953625663766238,8.0,tensor(7.8605, device='cuda:0', grad_fn=<AddBackward0>),10.92
226,2192,0.04953625663766238,14.0,tensor(6.4088, device='cuda:0', grad_fn=<AddBackward0>),10.91
227,1917,0.04953625663766238,18.0,tensor(6.0268, device='cuda:0', grad_fn=<AddBackward0>),11.01
228,2454,0.04953625663766238,8.0,tensor(7.2924, device='cuda:0', grad_fn=<AddBackward0>),11.03
